"";"dm";"data_2019";"valor_2019";"acumulado_2019";"data_2020";"valor_2020";"acumulado_2020";"data_2021";"valor_2021";"acumulado_2021";"data_2022";"valor_2022";"acumulado_2022";"variacao22_21"
"119";"29/4";2019-04-29;340246,91;344988246,43;2020-04-29;185381,92;357584310,78;2021-04-29;564315,31;382830590,06;2022-04-29;342926,58;521026006,12;36,0983212021644
"120";"30/4";2019-04-30;304717,94;345292964,37;2020-04-30;471551,82;358055862,6;2021-04-30;309961,72;383140551,78;2022-04-30;0;521026006,12;35,9882173002596
"121";"1/5";2019-05-01;0;345292964,37;2020-05-01;0;358055862,6;2021-05-01;0;383140551,78;2022-05-01;0;521026006,12;35,9882173002596
"122";"2/5";2019-05-02;221351,49;345514315,86;2020-05-02;0;358055862,6;2021-05-02;0;383140551,78;2022-05-02;30888,86;521056894,98;35,9962793181944
"123";"3/5";2019-05-03;4114194,86;349628510,72;2020-05-03;0;358055862,6;2021-05-03;39262,05;383179813,83;2022-05-03;13515,58;521070410,56;35,9858718421884
"124";"4/5";2019-05-04;0;349628510,72;2020-05-04;87865,79;358143728,39;2021-05-04;82366,18;383262180,01;2022-05-04;1048207,94;522118618,5;36,2301436803331
"125";"5/5";2019-05-05;0;349628510,72;2020-05-05;15310904,78;373454633,17;2021-05-05;29807880,53;413070060,54;2022-05-05;22923012,28;545041630,78;31,9489556002862
"126";"6/5";2019-05-06;18164408,59;367792919,31;2020-05-06;439523,74;373894156,91;2021-05-06;10703320,07;423773380,61;2022-05-06;16252649,98;561294280,76;32,4515192417338
"127";"7/5";2019-05-07;640373,48;368433292,79;2020-05-07;2706942,65;376601099,56;2021-05-07;4053650,38;427827030,99;2022-05-07;0;561294280,76;31,1965444215047
"128";"8/5";2019-05-08;12278587,64;380711880,43;2020-05-08;9922660,96;386523760,52;2021-05-08;0;427827030,99;2022-05-08;0;561294280,76;31,1965444215047
"129";"9/5";2019-05-09;6813070,44;387524950,87;2020-05-09;0;386523760,52;2021-05-09;0;427827030,99;2022-05-09;6900403,06;568194683,82;32,8094399517456
"130";"10/5";2019-05-10;12413729,28;399938680,15;2020-05-10;0;386523760,52;2021-05-10;24048571,07;451875602,06;2022-05-10;38077279,42;606271963,24;34,1678905601766
"131";"11/5";2019-05-11;0;399938680,15;2020-05-11;14890024,34;401413784,86;2021-05-11;11784,04;451887386,1;2022-05-11;103745,88;606375709,12;34,1873501611334
"132";"12/5";2019-05-12;0;399938680,15;2020-05-12;193722,3;401607507,16;2021-05-12;368442,53;452255828,63;2022-05-12;42728,1;606418437,22;34,0874785532336
"133";"13/5";2019-05-13;417257,33;400355937,48;2020-05-13;213909,55;401821416,71;2021-05-13;11308,68;452267137,31;2022-05-13;12620,16;606431057,38;34,0869161944726
"134";"14/5";2019-05-14;254781,01;400610718,49;2020-05-14;197806,05;402019222,76;2021-05-14;676716,92;452943854,23;2022-05-14;0;606431057,38;33,8865847757062
"135";"15/5";2019-05-15;54405,61;400665124,1;2020-05-15;75260,45;402094483,21;2021-05-15;0;452943854,23;2022-05-15;0;606431057,38;33,8865847757062
"136";"16/5";2019-05-16;12598,65;400677722,75;2020-05-16;0;402094483,21;2021-05-16;0;452943854,23;2022-05-16;105277,97;606536335,35;33,9098278264766
"137";"17/5";2019-05-17;482453,87;401160176,62;2020-05-17;0;402094483,21;2021-05-17;141421,46;453085275,69;2022-05-17;24051,73;606560387,08;33,8733389992147
"138";"18/5";2019-05-18;0;401160176,62;2020-05-18;513691,85;402608175,06;2021-05-18;530024,1;453615299,79;2022-05-18;562153,42;607122540,5;33,8408428421761
"139";"19/5";2019-05-19;0;401160176,62;2020-05-19;79357,84;402687532,9;2021-05-19;20871,43;453636171,22;2022-05-19;49869,47;607172409,97;33,8456782088348
"140";"20/5";2019-05-20;1097234,74;402257411,36;2020-05-20;226774,01;402914306,91;2021-05-20;251219,21;453887390,43;2022-05-20;869001,11;608041411,08;33,9630542509583
"141";"21/5";2019-05-21;24052,68;402281464,04;2020-05-21;78596,01;402992902,92;2021-05-21;135750,48;454023140,91;2022-05-21;0;608041411,08;33,9230000174222
"142";"22/5";2019-05-22;97329,67;402378793,71;2020-05-22;54910,06;403047812,98;2021-05-22;0;454023140,91;2022-05-22;0;608041411,08;33,9230000174222
"143";"23/5";2019-05-23;116528,77;402495322,48;2020-05-23;0;403047812,98;2021-05-23;0;454023140,91;2022-05-23;9552,24;608050963,32;33,9251039278046
"144";"24/5";2019-05-24;4715880,7;407211203,18;2020-05-24;0;403047812,98;2021-05-24;14990,38;454038131,29;2022-05-24;796203,39;608847166,71;34,0960427663115
